record_id,session_id,timestamp_iso,pump_model,firmware_version,entry_time_ms,total_keypresses,large_up_count,small_up_count,small_down_count,large_down_count,correction_count,boundary_hit_count,large_btn_ratio,golden_path_ratio,final_rate_ml_h,intended_rate_ml_h,error_magnitude_ml_h,relative_error,confirmed_incorrect,drug_unit_used,drug_id,drug_name,drug_library_used,guardrail_soft_min,guardrail_soft_max,guardrail_hard_min,guardrail_hard_max,guardrail_warning_shown,guardrail_override,guardrail_blocked,rate_within_soft_limits,vtbi_set,vtbi_value_ml,kvo_rate_ml_h,bolus_delivered,bolus_volume_ml,secondary_infusion,patient_weight_kg,pressure_alarm_level,days_since_maintenance,battery_level_pct,firmware_version_risk,network_connected,drug_library_age_days,config_drift_score,recent_occlusion_alarms,alarms_during_session,risk_label,risk_score,risk_reasons
alaris_0011_neglected,alaris-19d3e5c8717-000a,2026-03-30T10:49:04.525Z,alaris_gp,7.2.0,0,10,7,3,0,0,0,0,0.7,1.0,57.222,56.111,1.111,0.0198,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,1,1,0,0,0,0,1,0,0,0,70,5,261,24,0,0,350,0.711,1,0,medium,0.56,"['R11: Soft guardrail warning overridden by operator', 'R13: VTBI not set — no infusion completion detection', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard']"
alaris_0012_neglected,alaris-19d3e5c8718-000b,2026-03-30T10:49:04.525Z,alaris_gp,7.2.0,5073,8,0,8,0,0,0,0,0.0,1.0,10.0,9.0,1.0,0.1111,0,mg/h,morphine,MORPHINE,1,1,10,0.5,20,0,0,0,1,0,0,1,0,0,0,70,5,383,44,0,0,133,0.715,3,0,high,0.84,"['R06: No maintenance in >1 year (>365 days)', 'R10: 10% dose error (≥10% relative error)', 'R13: VTBI not set — no infusion completion detection', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0013_emergency,alaris-19d3e5c8719-000c,2026-03-30T10:49:04.525Z,alaris_gp,9.12,4597,22,16,6,0,0,0,0,0.727,1.0,266.0,238.0,28.0,0.1176,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,1,510,1,0,0,0,70,5,249,53,0,0,3,0.109,2,0,high,0.85,"['R04: MANUAL mode with high rate (>200 ml/h) — no library protection', 'R10: 10% dose error (≥10% relative error)', 'R12: MANUAL mode — no drug library protection', 'R18: Not connected to Gateway — no remote monitoring']"
alaris_0014_ideal,alaris-19d3e5c871a-000d,2026-03-30T10:49:04.525Z,alaris_gp,9.12,1863,6,0,6,0,0,0,0,0.0,1.0,16.0,16.0,0.0,0.0,0,mmol/h,kcl,KCl 20mmol,1,5,20,1.0,40,0,0,0,1,1,510,1,0,0,0,70,5,14,81,0,1,0,0.027,0,0,low,0.0,[]
alaris_0015_ideal,alaris-19d3e5c871b-000e,2026-03-30T10:49:04.525Z,alaris_gp,9.12,626,2,0,0,2,0,0,0,0.0,1.0,4.444,4.444,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,79,5,0,91,0,1,12,0.042,0,0,low,0.0,[]
alaris_0016_ideal,alaris-19d3e5c871d-000f,2026-03-30T10:49:04.526Z,alaris_gp,9.12,3730,10,7,1,1,1,1,0,0.8,1.667,50.0,56.111,6.111,0.1089,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,1,0,0,1,1,510,1,0,0,0,70,5,25,97,0,1,10,0.019,0,0,medium,0.4,['R10: 10% dose error (≥10% relative error)']
alaris_0017_emergency,alaris-19d3e5c871e-0010,2026-03-30T10:49:04.526Z,alaris_gp,9.12,1448,7,4,3,0,0,0,0,0.571,1.0,143.0,184.0,41.0,0.2228,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,1,510,1,0,0,0,70,5,114,59,0,1,42,0.385,2,0,medium,0.43,"['R10: 10% dose error (≥10% relative error)', 'R12: MANUAL mode — no drug library protection']"
alaris_0018_neglected,alaris-19d3e5c871f-0011,2026-03-30T10:49:04.526Z,alaris_gp,7.2.0,648,1,0,0,1,0,0,0,0.0,1.0,4.05,4.05,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,0,0,1,0,0,0,54,5,272,40,0,0,286,0.659,5,0,medium,0.51,"['R13: VTBI not set — no infusion completion detection', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0019_neglected,alaris-19d3e5c8724-0012,2026-03-30T10:49:04.530Z,alaris_gp,7.2.0,13191,20,20,0,0,0,0,1,1.0,1.0,1.2,2.004,0.804,0.4012,1,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,0,0,1,0,0,0,70,5,311,40,0,0,363,0.525,1,0,high,0.97,"['R08: Confirmed wrong value (>10% error and infusion started)', 'R10: 10% dose error (≥10% relative error)', 'R13: VTBI not set — no infusion completion detection', 'R15: Boundary hit during rate entry — operator tested limits', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard']"
alaris_0020_cyber_risk,alaris-19d3e5c8725-0013,2026-03-30T10:49:04.530Z,alaris_gp,8.1.3,3682,10,0,0,9,1,0,0,0.1,1.0,6.111,6.111,0.0,0.0,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,97,54,1,1,5,0.134,0,0,high,0.7,['R05: Firmware version has known CVE vulnerability']
alaris_0021_emergency,alaris-19d3e5c8726-0014,2026-03-30T10:49:04.530Z,alaris_gp,9.12,2744,13,0,0,5,8,0,0,0.615,1.0,15.0,17.0,2.0,0.1176,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,1,510,1,0,0,0,70,5,57,52,0,0,7,0.408,2,0,medium,0.46,"['R10: 10% dose error (≥10% relative error)', 'R12: MANUAL mode — no drug library protection', 'R18: Not connected to Gateway — no remote monitoring']"
alaris_0022_ideal,alaris-19d3e5c8727-0015,2026-03-30T10:49:04.530Z,alaris_gp,9.12,1871,6,1,5,0,0,0,0,0.167,1.0,22.875,22.875,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,61,5,13,82,0,1,11,0.03,0,0,low,0.0,[]
alaris_0023_ideal,alaris-19d3e5c8728-0016,2026-03-30T10:49:04.530Z,alaris_gp,9.12,1870,6,2,4,0,0,0,0,0.333,1.0,1.024,1.001,0.023,0.023,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,0,0,1,0,0,0,70,5,23,92,0,1,12,0.019,0,0,medium,0.25,['R13: VTBI not set — no infusion completion detection']
alaris_0024_cyber_risk,alaris-19d3e5c872a-0017,2026-03-30T10:49:04.531Z,alaris_gp,8.1.3,735,2,0,2,0,0,0,0,0.0,1.0,12.469,12.469,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,95,5,88,58,1,1,8,0.006,0,0,high,0.7,['R05: Firmware version has known CVE vulnerability']
alaris_0025_emergency,alaris-19d3e5c872b-0018,2026-03-30T10:49:04.531Z,alaris_gp,9.12,2752,13,2,8,3,0,1,0,0.154,1.857,125.0,141.0,16.0,0.1135,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,1,510,1,0,0,0,70,5,81,30,0,0,16,0.234,3,0,medium,0.46,"['R10: 10% dose error (≥10% relative error)', 'R12: MANUAL mode — no drug library protection', 'R18: Not connected to Gateway — no remote monitoring', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0026_ideal,alaris-19d3e5c872c-0019,2026-03-30T10:49:04.531Z,alaris_gp,9.12,6592,20,20,0,0,0,0,1,1.0,1.0,1.2,2.005,0.805,0.4015,1,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,1,490,1,0,0,0,70,5,0,85,0,1,5,0.044,0,0,high,0.86,"['R08: Confirmed wrong value (>10% error and infusion started)', 'R10: 10% dose error (≥10% relative error)', 'R15: Boundary hit during rate entry — operator tested limits']"
alaris_0027_ideal,alaris-19d3e5c872d-001a,2026-03-30T10:49:04.531Z,alaris_gp,9.12,3732,10,1,3,6,0,1,0,0.1,1.429,9.0,15.0,6.0,0.4,1,U/h,insulin,INSULIN,1,1,10,0.5,50,1,0,0,1,1,510,1,0,0,0,70,5,10,98,0,1,14,0.01,0,0,high,0.84,"['R08: Confirmed wrong value (>10% error and infusion started)', 'R10: 10% dose error (≥10% relative error)']"
alaris_0028_ideal,alaris-19d3e5c872e-001b,2026-03-30T10:49:04.531Z,alaris_gp,9.12,12883,41,0,0,9,32,0,0,0.78,1.0,0.671,0.654,0.017,0.026,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,0,0,1,0,0,0,70,5,29,84,0,1,13,0.029,0,0,medium,0.25,['R13: VTBI not set — no infusion completion detection']
alaris_0029_emergency,alaris-19d3e5c8730-001c,2026-03-30T10:49:04.532Z,alaris_gp,9.12,8581,41,33,8,0,0,0,0,0.805,1.0,438.0,370.0,68.0,0.1838,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,175,47,0,1,19,0.152,3,0,high,0.885,"['R04: MANUAL mode with high rate (>200 ml/h) — no library protection', 'R10: 10% dose error (≥10% relative error)', 'R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0030_emergency,alaris-19d3e5c8731-001d,2026-03-30T10:49:04.532Z,alaris_gp,9.12,2129,10,0,1,5,4,1,0,0.4,1.25,56.0,56.0,0.0,0.0,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,1,510,1,0,0,0,70,5,94,36,0,0,59,0.141,3,0,medium,0.46,"['R12: MANUAL mode — no drug library protection', 'R18: Not connected to Gateway — no remote monitoring', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0031_ideal,alaris-19d3e5c8732-001e,2026-03-30T10:49:04.532Z,alaris_gp,9.12,2539,8,0,8,0,0,0,0,0.0,1.0,20.962,20.962,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,86,5,4,100,0,1,1,0.046,0,0,low,0.0,[]
alaris_0032_ideal,alaris-19d3e5c8733-001f,2026-03-30T10:49:04.532Z,alaris_gp,9.12,11637,37,0,0,4,33,0,0,0.892,1.0,0.666,0.676,0.01,0.0148,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,0,0,1,0,0,0,70,5,3,99,0,1,12,0.022,0,0,medium,0.25,['R13: VTBI not set — no infusion completion detection']
alaris_0033_ideal,alaris-19d3e5c8734-0020,2026-03-30T10:49:04.532Z,alaris_gp,9.12,1582,5,0,5,0,0,0,0,0.0,1.0,7.0,7.0,0.0,0.0,0,U/h,insulin,INSULIN,1,1,10,0.5,50,0,0,0,1,0,0,1,0,0,0,70,5,24,89,0,1,10,0.015,0,0,medium,0.25,['R13: VTBI not set — no infusion completion detection']
alaris_0034_emergency,alaris-19d3e5c8736-0021,2026-03-30T10:49:04.533Z,alaris_gp,9.12,3781,18,18,0,0,0,0,0,1.0,1.0,280.0,282.0,2.0,0.0071,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,92,36,0,1,31,0.147,0,0,high,0.805,"['R04: MANUAL mode with high rate (>200 ml/h) — no library protection', 'R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection']"
alaris_0035_cyber_risk,alaris-19d3e5c8737-0022,2026-03-30T10:49:04.533Z,alaris_gp,6.0.2,1094,3,1,2,0,0,0,0,0.333,1.0,19.125,19.125,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,60,5,106,54,1,1,7,0.181,2,0,high,0.7,['R05: Firmware version has known CVE vulnerability']
alaris_0036_ideal,alaris-19d3e5c8738-0023,2026-03-30T10:49:04.533Z,alaris_gp,9.12,6611,20,20,0,0,0,0,1,1.0,1.0,1.2,1.76,0.56,0.3182,1,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,1,490,1,0,0,0,70,5,3,85,0,1,9,0.035,0,0,high,0.86,"['R08: Confirmed wrong value (>10% error and infusion started)', 'R10: 10% dose error (≥10% relative error)', 'R15: Boundary hit during rate entry — operator tested limits']"
alaris_0037_ideal,alaris-19d3e5c8739-0024,2026-03-30T10:49:04.533Z,alaris_gp,9.12,2521,8,0,0,8,0,0,0,0.0,1.0,12.222,12.778,0.556,0.0435,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,18,94,0,1,7,0.01,0,0,low,0.0,[]
alaris_0038_neglected,alaris-19d3e5c873a-0025,2026-03-30T10:49:04.533Z,alaris_gp,7.2.0,17538,26,7,9,9,1,1,0,0.308,4.333,50.0,57.222,7.222,0.1262,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,1,0,0,1,1,510,1,0,0,0,70,5,242,22,0,0,153,0.647,5,0,medium,0.485,"['R10: 10% dose error (≥10% relative error)', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0039_ideal,alaris-19d3e5c873b-0026,2026-03-30T10:49:04.533Z,alaris_gp,9.12,312,1,1,0,0,0,0,0,1.0,1.0,20.0,20.0,0.0,0.0,0,mmol/h,kcl,KCl 20mmol,1,5,20,1.0,40,0,0,0,1,1,510,1,0,0,0,70,5,7,94,0,1,13,0.041,0,0,low,0.0,[]
alaris_0040_ideal,alaris-19d3e5c873c-0027,2026-03-30T10:49:04.533Z,alaris_gp,9.12,1561,5,0,5,0,0,0,0,0.0,1.0,7.0,7.0,0.0,0.0,0,mg/h,morphine,MORPHINE,1,1,10,0.5,20,0,0,0,1,0,0,1,0,0,0,70,5,27,97,0,1,10,0.042,0,0,medium,0.25,['R13: VTBI not set — no infusion completion detection']
alaris_0041_emergency,alaris-19d3e5c873d-0028,2026-03-30T10:49:04.533Z,alaris_gp,9.12,7336,35,27,8,0,0,0,0,0.771,1.0,378.0,396.0,18.0,0.0455,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,252,50,0,1,9,0.151,2,0,high,0.805,"['R04: MANUAL mode with high rate (>200 ml/h) — no library protection', 'R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection']"
alaris_0042_neglected,alaris-19d3e5c873f-0029,2026-03-30T10:49:04.534Z,alaris_gp,7.2.0,4550,7,0,3,4,0,1,0,0.0,7.0,9.0,11.0,2.0,0.1818,0,mmol/h,kcl,KCl 20mmol,1,5,20,1.0,40,0,0,0,1,0,0,1,0,0,0,70,5,214,20,0,0,125,0.57,4,0,medium,0.51,"['R10: 10% dose error (≥10% relative error)', 'R13: VTBI not set — no infusion completion detection', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0043_ideal,alaris-19d3e5c8740-002a,2026-03-30T10:49:04.534Z,alaris_gp,9.12,1579,5,5,0,0,0,0,0,1.0,1.0,44.444,45.556,1.112,0.0244,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,3,91,0,1,9,0.049,0,0,low,0.0,[]
alaris_0044_ideal,alaris-19d3e5c8741-002b,2026-03-30T10:49:04.534Z,alaris_gp,9.12,2514,8,0,8,0,0,0,0,0.0,1.0,10.0,10.0,0.0,0.0,0,mg/h,morphine,MORPHINE,1,1,10,0.5,20,0,0,0,1,0,0,1,0,0,0,70,5,20,100,0,1,6,0.037,0,0,medium,0.25,['R13: VTBI not set — no infusion completion detection']
alaris_0045_neglected,alaris-19d3e5c8742-002c,2026-03-30T10:49:04.534Z,alaris_gp,7.2.0,2475,4,3,1,0,0,0,0,0.75,1.0,33.889,30.0,3.889,0.1296,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,222,41,0,0,209,0.323,1,0,medium,0.455,"['R10: 10% dose error (≥10% relative error)', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring']"
alaris_0046_ideal,alaris-19d3e5c8743-002d,2026-03-30T10:49:04.534Z,alaris_gp,9.12,2178,7,6,1,0,0,0,0,0.857,1.0,50.556,51.667,1.111,0.0215,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,13,80,0,1,1,0.041,0,0,low,0.0,[]
alaris_0047_ideal,alaris-19d3e5c8744-002e,2026-03-30T10:49:04.534Z,alaris_gp,9.12,2189,7,0,7,0,0,0,0,0.0,1.0,14.4,14.4,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,64,5,2,97,0,1,14,0.04,0,0,low,0.0,[]
alaris_0048_ideal,alaris-19d3e5c8745-002f,2026-03-30T10:49:04.534Z,alaris_gp,9.12,1249,4,0,4,0,0,0,0,0.0,1.0,15.525,15.525,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,92,5,30,96,0,1,2,0.019,0,0,low,0.0,[]
alaris_0049_emergency,alaris-19d3e5c8746-0030,2026-03-30T10:49:04.534Z,alaris_gp,9.12,1666,8,3,5,0,0,0,0,0.375,1.0,135.0,133.0,2.0,0.015,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,116,44,0,0,29,0.436,3,0,medium,0.485,"['R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection', 'R18: Not connected to Gateway — no remote monitoring', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0050_ideal,alaris-19d3e5c8747-0031,2026-03-30T10:49:04.534Z,alaris_gp,9.12,3808,12,4,8,0,0,0,0,0.333,1.0,1.048,1.05,0.002,0.0019,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,1,490,1,0,0,0,70,5,8,90,0,1,12,0.046,0,0,low,0.0,[]
alaris_0051_ideal,alaris-19d3e5c8748-0032,2026-03-30T10:49:04.534Z,alaris_gp,9.12,4420,14,0,0,3,11,0,0,0.786,1.0,0.887,0.882,0.005,0.0057,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,1,490,1,0,0,0,70,5,26,99,0,1,2,0.016,0,0,low,0.0,[]
alaris_0052_emergency,alaris-19d3e5c8749-0033,2026-03-30T10:49:04.534Z,alaris_gp,9.12,1259,6,5,1,0,0,0,0,0.833,1.0,151.0,153.0,2.0,0.0131,0,ml/h,manual,MANUAL ml/h,0,1,1200,0.1,1200,0,0,0,1,0,0,1,0,0,0,70,5,95,57,0,0,16,0.262,0,0,medium,0.325,"['R12: MANUAL mode — no drug library protection', 'R13: VTBI not set — no infusion completion detection', 'R18: Not connected to Gateway — no remote monitoring']"
alaris_0053_ideal,alaris-19d3e5c874a-0034,2026-03-30T10:49:04.534Z,alaris_gp,9.12,328,1,0,1,0,0,0,0,0.0,1.0,8.325,8.325,0.0,0.0,0,µg/kg/min,dopamine,DOPAMINE,1,2,20,1.0,50,0,0,0,1,1,510,1,0,0,0,74,5,16,85,0,1,6,0.001,0,0,low,0.0,[]
alaris_0054_neglected,alaris-19d3e5c874b-0035,2026-03-30T10:49:04.534Z,alaris_gp,7.2.0,14703,22,20,0,2,0,1,1,0.909,0.815,1.198,1.329,0.131,0.0986,0,U/h,heparin,HEPARIN,1,500,2000,100.0,5000,0,0,0,1,0,0,1,0,0,0,70,5,215,15,0,0,269,0.483,3,0,medium,0.535,"['R13: VTBI not set — no infusion completion detection', 'R15: Boundary hit during rate entry — operator tested limits', 'R16: Drug library outdated (>90 days since update)', 'R17: Battery critically low (<20%)', 'R18: Not connected to Gateway — no remote monitoring', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
alaris_0055_ideal,alaris-19d3e5c874c-0036,2026-03-30T10:49:04.534Z,alaris_gp,9.12,2867,9,6,3,0,0,0,0,0.667,1.0,51.667,52.778,1.111,0.0211,0,mg/h,amiodarone,AMIODARONE,1,10,100,5.0,150,0,0,0,1,1,510,1,0,0,0,70,5,20,87,0,1,7,0.013,0,0,low,0.0,[]
alaris_0056_neglected,alaris-19d3e5c874e-0037,2026-03-30T10:49:04.535Z,alaris_gp,7.2.0,5226,6,0,5,1,0,1,2,0.0,1.5,6.0,5.0,1.0,0.2,0,U/h,insulin,INSULIN,1,1,10,0.5,50,0,0,0,1,0,0,1,0,0,0,70,5,237,24,0,0,254,0.65,3,0,medium,0.53,"['R10: 10% dose error (≥10% relative error)', 'R13: VTBI not set — no infusion completion detection', 'R15: Boundary hit during rate entry — operator tested limits', 'R16: Drug library outdated (>90 days since update)', 'R18: Not connected to Gateway — no remote monitoring', 'R19: High configuration drift (>0.5) from hospital standard', 'R20: Recent occlusion alarms (≥3 in last 24h)']"
